,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
44,it01,it01-005,boco,9,477.2531167063728,940.3828303573245,1839.7131673502108,118.53592259403054,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
45,it01,it01-006,podo,1,489.9867264309286,869.0117494803478,2340.0285630914523,117.5972225543158,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
46,it01,it01-006,podo,2,539.9085464833992,875.0687661077363,2309.793595264374,113.3633454530041,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
47,it01,it01-006,podo,3,547.7733747394147,861.535308682729,2300.557857841549,112.17328654711235,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
48,it01,it01-006,podo,4,549.3225460193075,837.8460557388727,2267.821933592643,112.39981847873293,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
49,it01,it01-006,podo,5,557.1489263330584,846.5600001071216,2246.116681627527,113.20115938194454,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
50,it01,it01-006,podo,6,555.5980943985546,893.6907613046765,2191.8357827892382,114.1329093065222,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
51,it01,it01-006,podo,7,548.6289600708805,929.2159109066062,2159.047872306918,115.14362659145634,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
52,it01,it01-006,podo,8,538.8035217551029,961.2857669290948,2113.3137279703974,116.2638413178,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
53,it01,it01-006,podo,9,473.67662129922616,1060.4493950899737,2128.398811404934,118.4452581964363,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal
54,it01,it01-007,boto,1,481.0402649423969,877.6283883363205,2389.6777155235627,116.70570928423676,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
55,it01,it01-007,boto,2,531.0501304033395,884.8363637196084,2415.331623682109,112.47052907377208,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
56,it01,it01-007,boto,3,539.4311266809658,890.5661658886642,2440.122068452422,112.28728755853533,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
57,it01,it01-007,boto,4,543.0165780013899,880.2686571381888,2437.8798832111697,111.98327151109336,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
58,it01,it01-007,boto,5,548.0885098944511,880.0569385765075,2401.620311158332,112.67401033533314,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
59,it01,it01-007,boto,6,537.2450663350345,902.0407243195384,2335.867119040997,114.9352023010322,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
60,it01,it01-007,boto,7,534.5756918911115,940.1711740011368,2242.123689034061,117.39267749749456,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
61,it01,it01-007,boto,8,506.0284974040413,970.9089903450196,2150.1676952496564,117.83247756257524,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
62,it01,it01-007,boto,9,413.8870009341288,1030.5440596956932,2149.057359171108,117.61422962807448,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal
63,it01,it01-008,paca,1,646.9646832587814,1075.645308309682,2170.7581684149686,,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
64,it01,it01-008,paca,2,714.2397993932294,1110.0475108840672,2196.526401349697,112.30720221345648,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
65,it01,it01-008,paca,3,746.4392989198906,1120.15782583552,2190.348702558509,110.85964990871604,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
66,it01,it01-008,paca,4,732.1066413585496,1147.7125433684787,2170.923739924355,109.97529419298463,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
67,it01,it01-008,paca,5,733.3465527894072,1174.667231238796,2130.2410212035343,109.7931624004676,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
68,it01,it01-008,paca,6,733.2782234007055,1227.8899475839587,2074.833768315209,110.53846482638004,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
69,it01,it01-008,paca,7,726.5308853645877,1317.5493270338943,1988.661467328264,111.11315905700876,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar
